12V:1
3V3:1
5V:1
C1:1
C12:1
C13:1
C14:1
C15:1
C2:1
C3:1
C4:1
C5:1
C6:1
C7:1
C8:1
C9:1
D4:1
GND:1
IC1:1
IC10:1
IC9:1
J1:1
J2:1
J3:1
J4:1
J5:1
J6:1
L1:1
M3_1:1
M3_2:1
M3_3:1
M3_4:1
Q1:1
Q3:1
R1:1
R10:1
R11:1
R2:1
R3:1
R4:1
R6:1
U1:1
